Date,Place,Time,Period,Water Level (m),Water Level Percentage (%),Temperature (°C),Vibration on Earth (mg),Rain Gauge Level (mm),Pore Pressure (kPa),Soil Moisture (%),Latitude,Longitude,Distance (km)
2024-06-28,Shimla,19:39,Morning,2.7,84.0,18.0,0.06,14.5,137.9,49.8,31.1048,77.1734,29.05
2021-05-23,Manali,19:42,Night,1.6,77.0,27.8,0.06,22.2,119.2,42.9,32.2396,77.1885,2.28
2022-11-14,Darjeeling,23:53,Evening,2.6,88.0,28.2,0.1,21.6,116.6,28.7,27.0385,88.2622,32.59
2020-11-07,Darjeeling,02:14,Morning,3.3,80.0,16.1,0.1,32.7,111.3,34.2,27.0385,88.2622,22.19
2022-02-05,Munnar,02:04,Morning,2.0,82.0,27.5,0.02,17.9,137.2,37.5,10.0889,77.0594,3.9
2021-05-12,Shillong,09:46,Afternoon,1.2,68.0,17.1,0.08,29.0,123.4,37.9,25.5788,91.8933,46.31
2024-07-12,Dehradun,16:18,Afternoon,3.6,63.0,27.0,0.08,1.0,105.3,39.5,30.3165,78.0322,34.16
2024-04-21,Munnar,14:57,Night,2.6,89.0,18.4,0.01,7.7,100.3,33.3,10.0889,77.0594,38.78
2023-03-24,Dehradun,10:34,Night,2.4,72.0,27.1,0.02,9.7,134.7,46.7,30.3165,78.0322,43.93
2023-05-22,Shillong,12:52,Night,3.5,69.0,25.1,0.03,10.0,115.5,26.3,25.5788,91.8933,20.82
2024-08-29,Manali,10:02,Night,2.1,72.0,16.0,0.08,34.9,139.2,41.9,32.2396,77.1885,5.39
2023-03-28,Darjeeling,14:59,Night,2.1,85.0,19.0,0.05,7.2,106.1,45.0,27.0385,88.2622,1.81
2021-05-10,Darjeeling,03:19,Afternoon,2.6,63.0,29.2,0.04,26.8,110.7,49.2,27.0385,88.2622,30.22
2021-03-27,Shillong,00:06,Evening,2.8,84.0,28.1,0.09,14.7,101.9,49.5,25.5788,91.8933,20.97
2021-12-14,Dehradun,14:30,Night,3.1,83.0,24.4,0.06,27.2,126.1,46.1,30.3165,78.0322,48.54
2022-01-15,Shillong,21:51,Morning,2.8,80.0,26.9,0.06,0.8,132.7,30.3,25.5788,91.8933,14.82
2021-12-18,Shimla,09:00,Night,1.1,67.0,22.0,0.06,7.3,106.2,48.7,31.1048,77.1734,43.72
2022-11-03,Munnar,19:54,Morning,3.2,80.0,21.8,0.1,30.9,122.9,40.8,10.0889,77.0594,21.11
2020-12-07,Munnar,10:29,Afternoon,1.3,76.0,15.9,0.07,24.4,100.9,46.5,10.0889,77.0594,43.79
2022-01-26,Manali,04:47,Morning,3.1,77.0,27.6,0.08,11.3,118.9,28.1,32.2396,77.1885,24.72
2022-09-25,Shillong,07:19,Night,3.6,83.0,17.3,0.06,18.9,116.5,41.1,25.5788,91.8933,0.58
2024-01-09,Shimla,05:30,Night,3.0,69.0,23.7,0.03,6.6,123.4,27.7,31.1048,77.1734,25.45
2020-05-06,Shimla,17:49,Night,2.5,63.0,26.8,0.03,33.6,135.9,27.2,31.1048,77.1734,10.88
2023-02-13,Shillong,05:06,Morning,3.9,88.0,29.1,0.04,16.3,125.6,34.0,25.5788,91.8933,31.71
2020-08-08,Dehradun,01:38,Morning,3.6,78.0,20.0,0.06,16.5,107.0,34.3,30.3165,78.0322,30.25
2023-10-19,Manali,03:09,Evening,2.3,63.0,25.7,0.02,24.0,105.6,41.0,32.2396,77.1885,2.78
2020-08-29,Dehradun,04:53,Morning,3.9,86.0,21.6,0.05,15.6,121.0,49.1,30.3165,78.0322,9.54
2024-02-14,Shillong,23:54,Afternoon,3.3,88.0,16.0,0.06,1.3,102.4,46.1,25.5788,91.8933,30.93
2023-10-30,Munnar,18:12,Evening,2.3,71.0,19.4,0.06,15.7,124.3,26.1,10.0889,77.0594,28.09
2023-03-12,Shillong,16:29,Morning,3.4,63.0,15.2,0.07,33.2,136.8,28.2,25.5788,91.8933,46.9
2020-08-15,Shillong,22:58,Evening,1.7,89.0,17.6,0.02,16.7,113.0,34.5,25.5788,91.8933,17.99
2021-10-12,Manali,06:42,Night,3.3,64.0,22.4,0.03,13.1,133.8,28.9,32.2396,77.1885,30.98
2023-02-28,Shillong,21:13,Morning,1.4,88.0,27.1,0.08,34.0,128.1,35.6,25.5788,91.8933,33.42
2021-05-11,Dehradun,18:17,Afternoon,3.1,76.0,18.5,0.04,8.5,112.5,33.4,30.3165,78.0322,5.57
2023-06-13,Dehradun,11:59,Morning,2.7,85.0,21.5,0.03,23.5,112.8,46.8,30.3165,78.0322,13.43
2024-12-16,Shillong,23:11,Afternoon,2.1,78.0,19.6,0.06,14.4,105.4,41.0,25.5788,91.8933,13.54
2021-06-07,Manali,14:27,Morning,1.6,88.0,15.4,0.09,32.1,121.2,39.8,32.2396,77.1885,38.63
2024-11-02,Darjeeling,17:07,Evening,1.2,73.0,17.1,0.07,10.1,118.7,32.6,27.0385,88.2622,14.04
2020-08-14,Darjeeling,02:57,Morning,2.6,63.0,28.7,0.07,22.7,104.0,34.0,27.0385,88.2622,31.48
2020-05-05,Manali,08:47,Evening,1.4,89.0,20.5,0.02,32.6,109.0,40.7,32.2396,77.1885,20.74
2020-06-12,Dehradun,23:01,Night,3.3,64.0,16.8,0.04,1.8,122.1,41.0,30.3165,78.0322,46.4
2024-03-29,Shimla,07:29,Night,3.5,90.0,25.0,0.06,23.1,125.6,35.9,31.1048,77.1734,47.96
2020-11-06,Shillong,13:04,Afternoon,2.9,80.0,28.3,0.03,20.8,102.6,49.2,25.5788,91.8933,6.51
2020-12-04,Shimla,14:57,Evening,3.8,87.0,19.9,0.01,0.3,137.6,41.1,31.1048,77.1734,4.55
2022-10-24,Munnar,00:44,Evening,2.5,69.0,28.7,0.02,17.6,117.2,26.9,10.0889,77.0594,37.62
2020-06-16,Shimla,01:35,Afternoon,3.0,76.0,24.3,0.07,26.5,114.2,41.3,31.1048,77.1734,47.97
2023-02-28,Dehradun,08:45,Morning,3.1,84.0,26.2,0.02,26.1,110.6,46.6,30.3165,78.0322,37.8
2024-04-30,Shillong,08:22,Morning,2.0,70.0,26.5,0.04,34.8,126.4,31.7,25.5788,91.8933,3.33
2023-04-28,Dehradun,11:54,Morning,3.4,75.0,17.4,0.05,7.2,102.9,36.1,30.3165,78.0322,24.42
2021-09-20,Shimla,17:38,Afternoon,3.9,64.0,15.9,0.04,20.6,133.6,32.1,31.1048,77.1734,5.38
2020-05-02,Darjeeling,02:54,Evening,3.4,90.0,17.6,0.08,32.4,122.8,25.9,27.0385,88.2622,37.5
2021-06-18,Munnar,08:47,Night,3.1,65.0,27.7,0.03,3.3,128.8,35.6,10.0889,77.0594,1.77
2021-01-11,Darjeeling,19:20,Evening,2.8,69.0,26.7,0.09,3.2,108.8,30.5,27.0385,88.2622,38.31
2022-10-15,Dehradun,19:52,Night,2.8,74.0,15.7,0.05,24.8,113.5,40.3,30.3165,78.0322,49.97
2024-08-03,Munnar,16:18,Afternoon,3.8,74.0,25.9,0.02,22.6,102.9,41.5,10.0889,77.0594,29.64
2021-07-19,Munnar,18:20,Afternoon,2.6,87.0,18.3,0.07,31.6,112.7,30.5,10.0889,77.0594,36.03
2020-12-11,Darjeeling,07:48,Morning,1.0,76.0,18.2,0.08,1.0,106.0,42.0,27.0385,88.2622,42.98
2023-07-24,Munnar,00:10,Morning,1.1,67.0,23.7,0.04,4.2,131.7,32.1,10.0889,77.0594,41.07
2024-08-04,Manali,06:49,Morning,2.5,69.0,25.3,0.01,7.2,124.2,30.7,32.2396,77.1885,19.86
2022-12-24,Darjeeling,21:03,Night,3.4,61.0,25.6,0.08,1.4,122.1,32.5,27.0385,88.2622,15.7
2020-08-19,Dehradun,07:38,Afternoon,1.3,82.0,25.3,0.03,12.5,133.8,30.9,30.3165,78.0322,12.58
2024-06-29,Shillong,08:18,Afternoon,2.1,71.0,28.3,0.07,18.1,126.5,45.6,25.5788,91.8933,6.07
2024-10-25,Darjeeling,11:37,Afternoon,3.0,88.0,25.4,0.05,22.5,139.8,46.2,27.0385,88.2622,41.84
2023-12-13,Munnar,02:54,Night,2.8,69.0,27.4,0.05,20.0,100.6,35.5,10.0889,77.0594,23.6
2023-12-28,Dehradun,21:39,Morning,2.7,83.0,29.5,0.07,24.4,101.9,40.1,30.3165,78.0322,47.36
2024-04-21,Shillong,07:53,Morning,3.1,60.0,27.2,0.04,29.0,100.5,38.1,25.5788,91.8933,48.64
2023-07-04,Shillong,18:31,Night,3.1,64.0,24.0,0.07,3.0,120.1,25.4,25.5788,91.8933,44.32
2020-08-10,Shillong,03:01,Night,2.4,88.0,15.7,0.02,0.1,120.3,43.4,25.5788,91.8933,25.31
2023-08-17,Dehradun,15:07,Afternoon,3.0,87.0,16.9,0.08,26.3,111.1,34.3,30.3165,78.0322,43.1
2021-12-23,Darjeeling,03:07,Afternoon,2.3,75.0,15.8,0.07,19.9,130.8,47.0,27.0385,88.2622,14.75
2024-07-09,Shimla,10:40,Evening,2.3,80.0,15.2,0.08,7.3,124.1,27.8,31.1048,77.1734,38.88
2023-07-12,Dehradun,22:55,Evening,2.2,77.0,19.6,0.01,20.4,118.0,39.8,30.3165,78.0322,40.58
2020-09-10,Munnar,06:37,Night,2.2,77.0,28.6,0.07,3.7,113.2,30.9,10.0889,77.0594,36.9
2020-08-25,Darjeeling,06:42,Afternoon,3.6,68.0,29.0,0.07,18.2,113.5,27.0,27.0385,88.2622,37.82
2023-10-14,Darjeeling,06:33,Morning,1.7,64.0,21.4,0.01,16.2,112.6,42.5,27.0385,88.2622,31.05
2020-09-14,Munnar,08:54,Evening,1.8,67.0,29.6,0.04,20.4,130.6,31.2,10.0889,77.0594,8.49
2020-12-12,Shillong,14:23,Afternoon,2.0,69.0,19.8,0.08,21.3,102.9,28.7,25.5788,91.8933,15.27
2024-11-12,Munnar,05:28,Evening,1.5,87.0,18.6,0.09,24.0,117.1,48.1,10.0889,77.0594,48.11
2021-07-12,Manali,12:14,Night,1.8,78.0,16.4,0.02,23.8,126.5,35.1,32.2396,77.1885,15.22
2022-10-04,Manali,00:20,Afternoon,3.3,84.0,15.8,0.03,10.2,119.0,31.6,32.2396,77.1885,11.84
2021-02-16,Dehradun,19:21,Night,3.5,79.0,23.3,0.1,24.9,115.6,36.2,30.3165,78.0322,46.09
2022-12-17,Munnar,18:57,Afternoon,1.6,86.0,22.1,0.09,0.4,106.7,46.3,10.0889,77.0594,22.76
2021-11-17,Dehradun,00:28,Morning,1.5,86.0,15.5,0.05,18.9,116.6,38.4,30.3165,78.0322,42.61
2022-04-14,Shimla,16:28,Afternoon,2.5,73.0,20.8,0.02,17.7,125.1,45.2,31.1048,77.1734,27.87
2020-12-31,Shimla,18:40,Evening,4.0,70.0,25.0,0.05,23.1,115.4,26.5,31.1048,77.1734,48.41
2021-08-16,Manali,04:16,Morning,2.0,67.0,28.6,0.1,10.6,108.0,29.2,32.2396,77.1885,44.82
2020-01-25,Shimla,16:56,Morning,3.9,71.0,30.0,0.03,24.0,137.9,28.1,31.1048,77.1734,5.64
2023-03-08,Shimla,19:15,Evening,3.1,70.0,19.0,0.09,25.4,136.2,41.2,31.1048,77.1734,15.95
2022-09-02,Munnar,04:14,Afternoon,2.0,83.0,15.1,0.07,4.3,100.1,46.1,10.0889,77.0594,26.35
2022-05-18,Shillong,21:08,Evening,2.1,78.0,25.1,0.04,6.5,100.7,38.2,25.5788,91.8933,26.11
2023-07-07,Manali,21:34,Afternoon,2.3,63.0,29.1,0.02,13.6,105.0,43.2,32.2396,77.1885,21.31
2024-01-20,Darjeeling,11:27,Afternoon,2.8,64.0,19.5,0.07,6.4,104.2,39.0,27.0385,88.2622,11.45
2020-07-08,Dehradun,00:21,Morning,1.2,70.0,25.1,0.08,15.7,124.6,27.7,30.3165,78.0322,39.94
2024-11-26,Shimla,22:44,Evening,2.2,76.0,27.0,0.06,23.5,110.7,25.8,31.1048,77.1734,10.56
2021-04-18,Dehradun,03:27,Night,3.4,87.0,25.0,0.03,30.2,129.6,38.4,30.3165,78.0322,12.01
